H0,H1,H0_Depth,H1_Depth,H0_Score,H1_Score,Winner     weights = 10,1,2,4
1,2,2,2,24,24,DRAW
1,2,2,4,23,25,H2
1,2,2,6,23,25,H2
1,2,2,8,12,36,H2
1,2,4,2,20,28,H2
1,2,4,4,20,28,H2
1,2,4,6,28,20,H1
1,2,4,8,28,20,H1
1,2,6,2,30,18,H1
1,2,6,4,26,22,H1
1,2,6,6,32,16,H1
1,2,6,8,34,14,H1
1,2,8,2,22,26,H2
1,2,8,4,32,16,H1
1,2,8,6,31,17,H1
1,2,8,8,38,10,H1
1,3,2,2,24,24,DRAW
1,3,2,4,21,27,H3
1,3,2,6,18,30,H3
1,3,2,8,12,36,H3
1,3,4,2,28,20,H1
1,3,4,4,20,28,H3
1,3,4,6,28,20,H1
1,3,4,8,28,20,H1
1,3,6,2,27,21,H1
1,3,6,4,25,23,H1
1,3,6,6,32,16,H1
1,3,6,8,34,14,H1
1,3,8,2,22,26,H3
1,3,8,4,32,16,H1
1,3,8,6,41,7,H1
1,3,8,8,38,10,H1
1,4,2,2,20,28,H4
1,4,2,4,10,38,H4
1,4,2,6,23,25,H4
1,4,2,8,23,25,H4
1,4,4,2,25,23,H1
1,4,4,4,28,20,H1
1,4,4,6,28,20,H1
1,4,4,8,22,26,H4
1,4,6,2,36,12,H1
1,4,6,4,27,21,H1
1,4,6,6,32,16,H1
1,4,6,8,24,24,DRAW
1,4,8,2,29,19,H1
1,4,8,4,31,17,H1
1,4,8,6,34,14,H1
1,4,8,8,38,10,H1
2,1,2,2,22,26,H1
2,1,2,4,26,22,H2
2,1,2,6,18,30,H1
2,1,2,8,26,22,H2
2,1,4,2,29,19,H2
2,1,4,4,27,21,H2
2,1,4,6,22,26,H1
2,1,4,8,24,24,DRAW
2,1,6,2,30,18,H2
2,1,6,4,28,20,H2
2,1,6,6,25,23,H2
2,1,6,8,15,33,H1
2,1,8,2,34,14,H2
2,1,8,4,38,10,H2
2,1,8,6,26,22,H2
2,1,8,8,26,22,H2
2,3,2,2,21,27,H3
2,3,2,4,18,30,H3
2,3,2,6,21,27,H3
2,3,2,8,24,24,DRAW
2,3,4,2,33,15,H2
2,3,4,4,18,30,H3
2,3,4,6,21,27,H3
2,3,4,8,20,28,H3
2,3,6,2,24,24,DRAW
